word,example
"die Batterie, -n",Bringst du bitte Batterien für die Kamera mit?
"der Bauch, ¨-e",Mir tut der Bauch weh.
"bauen, baut, baute, hat gebaut",Mein Nachbar hat ein Haus gebaut.
"der Bau, Bauten",1. Ich wohne in einer Neubauwohnung. 2. Unser Haus ist ein Altbau.
"die Baustelle, -n",Wir müssen die Baustelle umfahren.
"der Bauer, -n",Wir kaufen unser Gemüse beim Bauern.
"der Baum, ¨-e",Wir haben zwei Bäume im Garten.
"beachten, beachtet, beachtete, hat beachtet",Bitte beachten Sie die Ansagen am Bahnsteig.
"der Beamte, -n die Beamtin, -nen",Meine Frau ist Beamtin bei der Polizei.
"beantragen, beantragt, beantragte, hat beantragt",Hast du schon einen neuen Pass beantragt?
"beantworten, beantwortet, beantwortete, hat beantwortet",Sie haben meine Frage leider nicht beantwortet.
"sich bedanken, bedankt, bedankte, hat bedankt",Ich möchte mich noch einmal sehr herzlich für Ihre Hilfe bedanken.
der Bedarf,An diesem Produkt besteht großer Bedarf.
"bedeuten, bedeutet, bedeutete, hat bedeutet","1. Was bedeutet dieses Wort? 2. Ich bin krank. Das bedeutet, dass ich heute nicht arbeiten kann."
"die Bedeutung, -en",Das Wort „Maus“ hat inzwischen zwei Bedeutungen.
"bedienen, bedient, bediente, hat bedient",1. Werden Sie schon bedient? 2. Die Kaffeemaschine ist ganz leicht zu bedienen.
"die Bedienungsanleitung, -en",Die Bedienungsanleitung verstehe ich nicht.
"die Bedingung, -en","1. Wenn Sie unsere Bedingungen akzeptieren, können wir einen Vertrag machen. 2. Wir haben in unserem Betrieb sehr gute Arbeitsbedingungen."
"sich beeilen, beeilt sich, beeilte sich, hat sich beeilt",Wir müssen uns beeilen. Sonst verpassen wir den Zug.
"beenden, beendet, beendete, hat beendet",Du musst deine Ausbildung auf jeden Fall beenden.
"sich befinden, befindet sich, befand sich, hat sich befunden",Das Bord-Bistro befindet sich in der Mitte des Zuges.
befreit,Studenten und Studentinnen sind von den Rundfunk-Gebühren befreit.
befriedigend,Das Ergebnis ist befriedigend.
"begegnen, begegnet, begegnete, ist begegnet",Sind wir uns nicht schon mal irgendwann begegnet?
begeistert,Es war ein tolles Konzert. Ich bin begeistert.
"beginnen, beginnt, begann, hat begonnen",In zwei Wochen beginnen die Sommerferien.
der Beginn,Zu Beginn der Stunde begrüßt die Lehrerin ihre Schüler.
"begleiten, begleitet, begleitete, hat begleitet",Ich begleite dich ein Stück.
begrenzt,Die Teilnehmerzahl ist auf 12 begrenzt.
"begründen, begründet, begründete, hat begründet",Bitte begründen Sie Ihre Meinung.
"die Begründung, -en",Die Miete wurde ohne Begründung erhöht.
"begrüßen, begrüßt, begrüßte, hat begrüßt",Der Gastgeber begrüßt seine Gäste.
"behalten, behält, behielt, hat behalten",Darf ich die Zeitschrift behalten?
"behandeln, behandelt, behandelte, hat behandelt",1. Welcher Arzt hat Sie bis jetzt behandelt? 2. So lasse ich mich von Ihnen nicht länger behandeln.
"behaupten, behauptet, behauptete, hat behauptet","1. Er behauptet, unsere Meinung sei nicht wichtig. 2. Es ist schwer, sich gegen meinen Kollegen zu behaupten."
"behindern, behindert, behinderte, hat behindert behindert","1. Bitte parken Sie so, dass Sie niemanden behindern. 2. Seit dem Unfall ist das Kind unserer Freunde behindert."
"die Behörde, -n",Sie erhalten ein Schreiben von der zuständigen Behörde.
bei,1. Potsdam liegt bei Berlin. 2. Ich wohne bei meinen Eltern. 3. Bei uns ist das anders als bei euch. Wir essen kein Fleisch. 4. Ich habe kein Geld bei mir. 5. Wir wollen euch nicht beim Essen stören.
beid-,"1. Beide waren mit meinem Vorschlag einverstanden. 2. Welche Bluse nehmen Sie, die rote oder die grüne? – Ich nehme beide."
"das Bein, -e",Andreas hat sich das Bein gebrochen.
beinahe,Ich habe heute beinahe den Bus verpasst.
"das Beispiel, -e","1. Können Sie mir ein Beispiel sagen? 2. Mein Freund hat viele Hobbys wie zum Beispiel Kochen, Tanzen, Fußballspielen. 3. Hier gibt’s so viele Sachen: beispielsweise Wurst, Obst, Brot …"
"beißen, beißt, biss, hat gebissen","Pass auf, dass dich der Hund nicht beißt!"
"der Beitrag, ¨-e",1. Die Krankenkasse hat die Beiträge erhöht. 2. Der Mitgliedsbeitrag für den Sportverein beträgt 34 Euro pro Monat.
bekannt,1. Ein Onkel von mir ist ein bekannter Politiker. 2. Dieses Lied ist sehr bekannt.
"der Bekannte, -n die Bekannte, -n",In Hannover wohnen Bekannte von mir.
"bekannt geben, gibt bekannt, gab bekannt, hat bekannt gegeben",Den Prüfungsort geben wir Ihnen noch rechtzeitig bekannt.
"bekommen, bekommt, bekam, hat bekommen",1. Haben Sie meinen Brief bekommen? 2. Ich bekomme jeden Tag eine Spritze. 3. Was bekommen Sie? – 5 kg Kartoffeln. 4. Wir haben Besuch bekommen. 5. Laut Wetterbericht bekommen wir 6. Plötzlich bekam ich starke
"der Beleg, -e",Brauchen Sie einen Beleg?
"beleidigen, beleidigt, beleidigte, hat beleidigt",1. Ich wollte Sie nicht beleidigen. 2. Sei doch nicht immer gleich beleidigt.
beliebt,Dieses Spiel ist bei Jugendlichen sehr beliebt.
"bemerken, bemerkt, bemerkte, hat bemerkt","Ich habe nicht bemerkt, dass das Fenster offen ist."
"sich bemühen, bemüht, bemühte, hat bemüht","1. Er hat sich sehr bemüht, etwas Gutes zu kochen. 2. Ich werde mich um einen Termin bemühen."
"benötigen, benötigt, benötigte, hat benötigt","Sagen Sie Bescheid, wenn Sie noch etwas benötigen."
"benutzen, benutzt, benutzte, hat benutzt",Benutzen Sie bitte die öffentlichen Verkehrsmittel.
"das Benzin, -e",Das Benzin soll wieder teurer werden.
"beobachten, beobachtet, beobachtete, hat beobachtet",Wer hat den Unfall beobachtet?
bequem,1. Meine Kinder ziehen am liebsten bequeme Sachen an. 2. Im Supermarkt einkaufen ist sehr bequem. 3. Diesen Sessel finde ich sehr bequem.
"beraten, berät, beriet, hat beraten","Unser Personal berät Sie gern, wenn Sie Fragen haben."
"die Beratung, -en",Beratungen für Familien gibt es jeden Dienstag zwischen 14 und 16 Uhr.
"berechnen, berechnet, berechnete, hat berechnet",Die Kosten für die Fahrt müssen erst berechnet werden.
"der Bereich, -e",1. In welchem Bereich möchten Sie arbeiten? 2. Umfahren Sie den Baustellenbereich.
bereit,"1. Ich bin jederzeit bereit, dir zu helfen. 2. Das Paket liegt auf der Post für Sie bereit."
bereits,Bitte melde dich bei Frau Kaiser. Sie hat bereits dreimal angerufen.
"der Berg, -e",1. Die Zugspitze ist der höchste Berg in Deutschland. 2. Wir fahren jeden Sonntag in die Berge. 3. Auf dem Berg haben wir ein Picknick
"berichten, berichtet, berichtete, hat berichtet",Alle Zeitungen haben über den Unfall berichtet.
"der Bericht, -e",Ich habe gestern einen interessanten Bericht gelesen.
"der Beruf, -e",Was sind Sie von Beruf?
beruflich,Was machen Sie beruflich?
berufstätig,Sind Sie berufstätig?
"beruhigen, beruhigt, beruhigte, hat beruhigt",1. Beruhigen Sie sich bitte. Es ist alles in Ordnung. 2. Ich kann Sie beruhigen. Ihrem Sohn ist nichts passiert.
berühmt,Michael Schumacher ist ein berühmter Rennfahrer.
"beschädigen, beschädigt, beschädigte, hat beschädigt","Bitte machen Sie eine Liste davon, was die Einbrecher beschädigt haben."
"beschäftigen, beschäftigt, beschäftigte, hat beschäftigt",1. Womit haben Sie sich bei Ihrer Arbeit beschäftigt? 2. Seit wann sind Sie bei dieser Firma beschäftigt?
"die Beschäftigung, -en","Ich suche eine Halbtagsbeschäftigung, weil ich ein kleines Kind habe."
"der Bescheid, -e",Den endgültigen Bescheid erhalten Sie in etwa vier Wochen.
Bescheid sagen,Ich erkundige mich nach den Terminen und sage Ihnen dann Bescheid.
Bescheid geben,Kannst du mir bis morgen Bescheid geben?
"beschließen, beschließt, beschloss, hat beschlossen","Wir haben beschlossen, uns ein kleineres Auto zu kaufen."
beschränken,Die Teilnehmerzahl für den Kurs ist beschränkt.
"beschreiben, beschreibt, beschrieb, hat beschrieben",Kannst du mir den Weg zum Flughafen beschreiben?
"die Beschreibung, -en",Eine Beschreibung des Geräts liegt bei.
"sich beschweren, beschwert sich, beschwerte sich, hat sich beschwert",Wo können wir uns beschweren?
"besetzen, besetzt, besetzte, hat besetzt",1. Dieser Platz ist besetzt. 2. Ich habe drei Plätze besetzt. 3. Ich habe jetzt schon dreimal dort angerufen. Es ist immer besetzt.
"besichtigen, besichtigt, besichtigte, hat besichtigt",Im Urlaub haben wir Schloss Schönbrunn besichtigt.
"besitzen, besitzt, besaß, hat besessen",Besitzt Ihre Frau ein eigenes Auto?
besonder-,Meine Eltern wollten uns mit dieser Reise eine ganz besondere Freude machen.
besonders,1. Ich habe heute ein besonders günstiges Angebot gesehen. 2. Durch den Sturm gab es besonders in Süddeutschland schwere Schäden. 3. Wie geht’s? – Nicht besonders.
"besorgen, besorgt, besorgte, hat besorgt",Soll ich die Eintrittskarten besorgen?
"besprechen, bespricht, besprach, hat besprochen","Wir müssen noch genau besprechen, wann wir losfahren und was wir mitnehmen."
"die Besprechung, -en","Tut mir leid, Herr Schmidt ist noch in einer Besprechung."
"die Besserung, -en",Gute Besserung!
"bestätigen, bestätigt, bestätigte, hat bestätigt","1. Die Firma hat mir den Termin schriftlich bestätigt. 2. Ich kann bestätigen, dass er hier war."
"die Bestätigung, -en",Ich brauche eine schriftliche Bestätigung für das Amt.
"bestehen, besteht, bestand, hat bestanden",1. Das Modul Lesen besteht aus fünf Teilen. 2. Ich habe die Prüfung bestanden!
"bestellen, bestellt, bestellte, hat bestellt",1. Wir haben Pizza bestellt. 2. Ich bin für 16 Uhr zum Vorstellungsgespräch bestellt. 3. Ich soll Ihnen Grüße von Frau Meier bestellen.
bestimmt,1. Das hat Nancy bestimmt nicht so gemeint. 2. Möchtest du ein bestimmtes Brot?
"bestrafen, bestraft, bestrafte, hat bestraft",Zu schnelles Fahren wird streng bestraft.
"besuchen, besucht, besuchte, hat besucht",1. Besuchen Sie uns doch mal. 2. Sie müssen noch einen Kurs besuchen.
"der Besuch, -e",1. Wir bekommen Besuch. 2. Ich mache einen Besuch im Krankenhaus. 3. Ich bin hier nur zu Besuch.
"sich beteiligen, beteiligt sich, beteiligte sich, hat sich beteiligt",Wir wollen unserer Lehrerin ein Geschenk kaufen. Wer möchte sich beteiligen?
"der Betrag, ¨-e",Bitte überweisen Sie den Betrag auf unser Konto.
"betreuen, betreut, betreute, hat betreut",Wer betreut bei Ihnen die Kinder?
"der Betreuer, -","Die Betreuerin der Kinder ist sehr nett. die Betreuerin, -nen"
die Betreuung,Haben Sie eine Betreuung für Ihre Kinder?
"der Betrieb, -e",1. In diesem Betrieb arbeiten zehn Leute. 2. Kurz vor Weihnachten ist in den Kaufhäusern immer viel Betrieb. 3. Der Aufzug ist in Betrieb/außer Betrieb.
"der Betriebsrat, ¨-e die Betriebsrätin, -nen",Der Betriebsrat wird Sie über die neuen Arbeitszeiten informieren.
"betrügen, betrügt, betrog, hat betrogen",1. Ich würde meine Familie niemals betrügen. 2. Die Rechnung stimmt nicht. Der Kellner hat mich betrogen.
betrunken,"Wenn Sie betrunken Auto fahren, verlieren Sie Ihren Führerschein."
"das Bett, -en","1. Wir wollten uns neue Betten kaufen. 2. Solange Sie Fieber haben, müssen Sie im Bett bleiben."
"die Bevölkerung, -en",11 % der Bevölkerung wurden nicht im Inland geboren.
bevor,"Bevor wir gehen, möchte ich noch etwas essen."
"bewegen, bewegt, bewegte, hat bewegt",1. Ich kann mich vor Schmerzen kaum noch bewegen. 2. Ich kann meinen Finger nicht mehr bewegen.
"die Bewegung, -en",Sie brauchen mehr Bewegung. Sie müssen regelmäßig spazieren gehen.
"beweisen, beweist, bewies, hat bewiesen","Wir können beweisen, dass Sie bei Rot über die Ampel gefahren sind."
"der Beweis, -e",Haben Sie dafür Beweise?
"sich bewerben, bewirbt sich, bewarb sich, hat sich beworben",1. Ich habe mich um diese Stelle beworben. 2. Ich habe mich als Kellner beworben.
"die Bewerbung, -en",1. Wohin soll ich meine Bewerbung schicken? 2. Hilfst du mir bei meiner Bewerbung?
"der Bewohner, die Bewohnerin, -nen",Ich kenne die anderen Hausbewohner nicht.
"bezahlen, bezahlt, bezahlte, hat bezahlt",Hast du die Rechnung schon bezahlt?
"die Beziehung, -en",Wir haben gute Beziehungen zu unseren Nachbarn.
"die Bibliothek, -en",Die Stadtbibliothek hat bereits geschlossen.
"das Bier, -e","Ein Bier, bitte!"
"bieten, bietet, bot, hat geboten","1. Er hat mir für den alten Wagen noch 800 Euro geboten. 2. Die Firma bietet ihren Mitarbeitern die Möglichkeit, Sprachkurse zu besuchen."
"das Bild, -er",Ein Bild von meinen Kindern hängt über meinem Schreibtisch.
"der Bildschirm, -e",1. Ich brauche einen größeren Bildschirm für meinen Computer. 2. Wir haben einen Fernsehapparat mit einem sehr großen Bildschirm.
"das Billett, -e/-s → D, A: Fahrkarte",Ein Billett können Sie am Schalter kaufen.
billig,Dieses Buch ist nicht ganz billig.
die Biologie,Meine Freundin studiert Biologie.
Bio-,Ich kaufe nur noch Biogemüse.
bio(logisch),Biologische Lebensmittel gibt es jetzt auch im Supermarkt.
"die Birne, -n",Möchten Sie Obst? Die Birnen sind heute besonders schön.
bis,"1. Die Linie 8 fährt nur bis zum Hauptbahnhof. 2. Bis wann können Sie bleiben? 3. Tschüs. Bis gleich! 4. Einige Züge hatten bis zu zwei Stunden Verspätung. 5. Für die Renovierung brauchen wir drei bis vier Tage. 6. Warte hier, bis ich zurückkomme."
bisher,Bisher ist alles in Ordnung.
ein bisschen,"1. Wenn Sie ein bisschen warten, können wir zusammen gehen. 2. Möchten Sie noch ein bisschen Reis? 3. Können Sie bitte ein bisschen lauter sprechen? 4. Sprechen Sie Englisch? – Ein bisschen."
"bitten, bittet, bat, hat gebeten","Darf ich Sie bitten, kurz zuzuhören?"
"die Bitte, -n",Ich habe eine Bitte. Kann ich mal Ihr Handy benutzen?
bitte,"1. Eine Tasse Kaffee, bitte! 2. Bitte schön! 3. Wie bitte? Was haben Sie gesagt? 4. Sprechen Sie bitte langsam."
bitter,Hast du Zucker? Der Tee ist sehr bitter.
blass,Du siehst ganz blass aus. Bist du krank?
"das Blatt, ¨-er",1. Die Bäume bekommen schon gelbe Blätter. 2. Haben Sie ein Blatt Papier für mich?
"bleiben, bleibt, blieb, ist geblieben",1. Ich bleibe heute zu Hause. 2. Im Juni und Juli bleibt unser Geschäft samstags geschlossen. 3. Bleiben Sie bitte am Apparat. 4. Bleiben Sie doch sitzen! 5. Wir bleiben nur bis morgen.
"der Bleistift, -e",Hast du einen Bleistift für mich?
"der Blick, -e",Von hier hat man einen tollen Blick über die Stadt.
blind,Er ist von Geburt an blind.
"blitzen, blitzt, blitzte, hat geblitzt",1. Gestern Abend gab es ein Gewitter. Es hat furchtbar geblitzt und gedonnert. 2. Ihre Augen blitzen vor Freude.
"der Blitz, -e","1. Was für ein Gewitter, hast du den Blitz gesehen? 2. Hast du das Foto mit Blitz gemacht?"
blond,1. Mein Sohn ist blond. 2. Nina hat lange blonde Haare.
bloß,"1. Ich möchte nichts kaufen. Ich möchte mich bloß umsehen. 2. Komm bloß nicht zu spät. Wir müssen pünktlich am Bahnhof sein. 3. Ach, wenn ich bloß mehr verdienen würde!"
"blühen, blüht, blühte, hat geblüht",Die Bäume blühen schon. Es ist Frühling.
"die Blume, -n",Wir haben meiner Mutter Blumen zum Geburtstag geschenkt.
"die Bluse, -n",Ich hätte gerne eine weiße Bluse.
"bluten, blutet, blutete, hat geblutet",Ich habe mich verletzt. Meine Hand blutet.
das Blut,Der Verletzte hat viel Blut verloren.
"der Boden, ¨-",1. Die Bücher lagen alle auf dem Boden. 2. Auf diesem Boden wächst Gemüse besonders gut.
"der Bogen, -/¨-",Bitte schreiben Sie Ihren Namen auf den Antwortbogen.
"die Bohne, -n",Ich esse gern Bohnen.
"das Boot, -e",An diesem See kann man Boote mieten.
"die Botschaft, -en",Das Visum habe ich von der Botschaft bekommen.
böse,"1. Ich habe das Buch leider vergessen. Hoffentlich bist du mir nicht böse. 2. Mach nicht so ein böses Gesicht! 3. Ich bin böse auf dich, du bist wieder nicht gekommen! 4. Zeig mal! Du hast dich verletzt? Das sieht aber böse aus."
"braten, brät, briet, hat gebraten",1. Das Fleisch muss zehn Minuten braten. 2. Heute gibt’s gebratenen Fisch.
"der Braten, -",Nehmen Sie noch etwas Soße zum Braten?
"brauchen, braucht, brauchte, hat gebraucht",1. Ich brauche ein Auto. 2. Brauchst du die Zeitung noch? 3. Meine Großmutter ist krank. Sie braucht viel Ruhe. 4. Ich habe für die Renovierung eine Woche gebraucht. 5. Sie brauchen morgen nicht zu kommen. Ich schaffe das alleine.
"brechen, bricht, brach, hat gebrochen","1. Er hat sich beim Skifahren verletzt, sein Bein ist gebrochen. 2. Ich habe mir im Urlaub das Bein gebrochen."
breit,Der Teppich ist zwei Meter lang und einen Meter breit.
"die Breite, -n","Welche Maße hat der Tisch? – Länge: 1 m, Breite: 80 cm, Höhe: 1,20 m."
"bremsen, bremst, bremste, hat gebremst",Der Mann ist ganz plötzlich über die Straße gegangen. Ich musste stark bremsen.
"die Bremse, -n",Du musst unbedingt die Bremsen kontrollieren lassen.
"brennen, brennt, brannte, hat gebrannt",1. In diesem Haus hat es letztes Jahr gebrannt. 2. Die Kerze brennt noch. Mach sie bitte aus. 3. In deinem Zimmer hat die ganze Nacht das Licht gebrannt.
"der Brief, -e",Ich schreibe nicht gern Briefe.
"der Briefkasten, ¨-",1. Ist hier in der Nähe ein Briefkasten? 2. Hol bitte mal die Zeitung aus dem Briefkasten.
"die Briefmarke, -n",Briefmarken bekommen Sie am Schalter 7.
"der Briefträger, die Briefträgerin,-nen",War die Briefträgerin schon da? → CH: Pöstler
"der Briefumschlag, ¨-e → A: Kuvert; CH: Couvert",Ich hätte gern 50 Briefumschläge und Briefmarken dazu.
"die Brieftasche, -n → D, CH: Portemonnaie/Portmonee; A: Geldbörse",Ich habe nur Kleingeld in meiner Brieftasche.
"die Brille, -n",Ich brauche eine neue Brille.
"bringen, bringt, brachte, hat gebracht",1. Bringen Sie mir bitte ein Glas Tee! 2. Ich bringe dich nach Hause. 3. Die Abendzeitung hat einen Bericht über den Unfall gebracht.
"die Broschüre, -n",In der Broschüre finden Sie die neuesten Informationen.
"das Brot, -e","1. Brot kaufe ich immer beim Bäcker, nicht im Supermarkt. 2. Was möchtest du aufs Brot haben? 3. Nimm noch ein paar belegte Brote für die Fahrt mit."
"das Brötchen, - (D) → A: Semmel; CH: Brötli",Ich hole schnell ein paar Brötchen zum Frühstück.
"das Brötli, - (CH) → D: Brötchen; A: Semmel",Ich hole schnell ein paar Brötli zum Frühstück.
"die Brücke, -n",Fahren Sie über die nächste Brücke und dann rechts.
"der Bruder, ¨-",Mein jüngster Bruder geht noch zur Schule.
"die Brust, , ¨-e",Ich habe Schmerzen in der Brust.
"der Bub, -en (A, CH) → D: Junge",In der Schulklasse sind 15 Buben und 10 Mädchen.
"das Buch, ¨-er",Haben Sie ein Buch über die Geschichte von Berlin?
"die Buchhandlung, -en",In der Buchhandlung in der Stadt haben sie das Buch sicher.
"buchen, bucht, buchte, hat gebucht",Ich habe für morgen einen Flug nach Rom gebucht.
"buchstabieren, buchstabiert, buchstabierte, hat buchstabiert",Würden Sie Ihren Namen bitte buchstabieren?
